,year,count,repo
0,1900,1,uci
1,1954,1,uci
2,1987,8,uci
3,1988,15,uci
4,1989,7,uci
5,1990,11,uci
6,1991,4,uci
7,1992,9,uci
8,1993,7,uci
9,1994,10,uci
10,1995,7,uci
11,1996,5,uci
12,1997,4,uci
13,1998,9,uci
14,1999,17,uci
15,2000,3,uci
16,2001,4,uci
17,2002,1,uci
18,2003,1,uci
19,2006,2,uci
20,2007,5,uci
21,2008,17,uci
22,2009,8,uci
23,2010,11,uci
24,2011,18,uci
25,2012,20,uci
26,2013,33,uci
27,2014,41,uci
28,2015,27,uci
29,2016,39,uci
30,2017,38,uci
31,2018,54,uci
32,2019,59,uci
33,2020,46,uci
34,2021,7,uci
